"country","year","sids","region_name","classification","datasets","records"
"Kenya",2022,FALSE,"Africa","Africa",1,2233
"Iceland",2022,FALSE,"Europe","other",3,2216
"Indonesia",2020,FALSE,"Asia","other",1,1615
"Russian Federation",2020,FALSE,"Europe","other",1,1442
"Philippines",2022,FALSE,"Asia","other",1,1312
"Ecuador",2022,FALSE,"Americas","other",1,1268
"Mexico",2022,FALSE,"Americas","other",5,1262
"Mozambique",2021,FALSE,"Africa","Africa",1,1259
"Norway",2021,FALSE,"Europe","other",2,1075
"Iceland",2020,FALSE,"Europe","other",2,1060
"Iran (Islamic Republic of)",2020,FALSE,"Asia","other",4,885
"China",2020,FALSE,"Asia","other",1,845
"Tunisia",2021,FALSE,"Africa","Africa",1,710
"Malaysia",2021,FALSE,"Asia","other",1,527
"Chile",2022,FALSE,"Americas","other",3,447
"Ecuador",2020,FALSE,"Americas","other",2,387
"Niue",2020,TRUE,"Oceania","SIDS",1,354
"Chile",2020,FALSE,"Americas","other",1,297
"China",2022,FALSE,"Asia","other",1,288
"Austria",2022,FALSE,"Europe","other",1,275
"Ukraine",2022,FALSE,"Europe","other",1,208
"Sweden",2020,FALSE,"Europe","other",1,180
"Tonga",2020,TRUE,"Oceania","SIDS",1,137
"Malaysia",2022,FALSE,"Asia","other",1,73
"Austria",2020,FALSE,"Europe","other",1,49
"Uruguay",2021,FALSE,"Americas","other",1,30
"Poland",2022,FALSE,"Europe","other",1,22
"Argentina",2021,FALSE,"Americas","other",2,15
"Malaysia",2020,FALSE,"Asia","other",1,15
"Argentina",2022,FALSE,"Americas","other",1,13
"South Africa",2021,FALSE,"Africa","Africa",2,13
"South Africa",2020,FALSE,"Africa","Africa",1,11
"Indonesia",2021,FALSE,"Asia","other",1,7
"Czechia",2022,FALSE,"Europe","other",1,4
"Switzerland",2022,FALSE,"Europe","other",1,3
